CVTA_ID,SampleDateTime,ForkLength,LAD_Race,Genetic_Assignment,Prob_Assignment,Spring_Pop_Assignment,Facility,Date_Assigned
C245197CVP,2024-11-19T14:00:00Z,139,Late Fall,Fall,0.972,NA,CVP,2024-12-10
C245198CVP,2024-11-30T08:00:00Z,153,Late Fall,Fall,0.585,NA,CVP,2024-12-10
C245199CVP,2024-12-01T10:00:00Z,170,Fall,Late Fall,0.998,NA,CVP,2024-12-10
C245203CVP,2024-12-04T02:00:00Z,150,Late Fall,Fall,0.996,NA,CVP,2024-12-10
C245204CVP,2024-12-04T04:00:00Z,161,Late Fall,Fall,0.857,NA,CVP,2024-12-10
C245205CVP,2024-12-04T04:00:00Z,151,Late Fall,Late Fall,0.965,NA,CVP,2024-12-10
C245210CVP,2024-12-04T12:00:00Z,138,Late Fall,Fall,0.997,NA,CVP,2024-12-10
C245211CVP,2024-12-04T12:00:00Z,150,Late Fall,Late Fall,0.931,NA,CVP,2024-12-10
C245213CVP,2024-12-05T08:00:00Z,170,Fall,Fall,0.98,NA,CVP,2024-12-10
C245215CVP,2024-12-05T18:00:00Z,136,Late Fall,Late Fall,0.999,NA,CVP,2024-12-11
C245216CVP,2024-12-05T22:00:00Z,145,Late Fall,Late Fall,1,NA,CVP,2024-12-11
C245217CVP,2024-12-05T23:59:00Z,149,Late Fall,Late Fall,1,NA,CVP,2024-12-11
C245218CVP,2024-12-05T23:59:00Z,177,Fall,Late Fall,1,NA,CVP,2024-12-11
C245221CVP,2024-12-07T14:00:00Z,123,Winter,Fall,0.504,NA,CVP,2024-12-11
C245226CVP,2024-12-17T10:00:00Z,118,Winter,Fall,1,NA,CVP,2024-12-24
C250001CVP,2025-01-02T20:00:00Z,134,Winter,Fall,1,NA,CVP,2025-01-04
C250002CVP,2025-01-16T16:00:00Z,92,Winter,Winter,1,NA,CVP,2025-01-20
C250003CVP,2025-02-08T10:00:00Z,118,Winter,Winter,1,NA,CVP,2025-02-10
C250004CVP,2025-02-18T18:00:00Z,36,Fall,Fall,0.777,NA,CVP,2025-02-28
C250005CVP,2025-02-18T18:00:00Z,37,Fall,Fall,0.998,NA,CVP,2025-02-28
C250006CVP,2025-02-18T18:00:00Z,37,Fall,Fall,0.6,NA,CVP,2025-02-28
C250007CVP,2025-02-18T18:00:00Z,33,Fall,Fall,0.91,NA,CVP,2025-02-28
C250008CVP,2025-02-18T20:00:00Z,35,Fall,Fall,0.908,NA,CVP,2025-02-28
C250009CVP,2025-02-18T20:00:00Z,36,Fall,Fall,0.831,NA,CVP,2025-02-28
C250010CVP,2025-02-18T20:00:00Z,37,Fall,Fall,0.979,NA,CVP,2025-02-28
C250011CVP,2025-02-18T20:00:00Z,36,Fall,Fall,0.967,NA,CVP,2025-02-28
C250012CVP,2025-02-18T20:00:00Z,40,Fall,Fall,0.912,NA,CVP,2025-02-28
C250013CVP,2025-02-18T20:00:00Z,36,Fall,Fall,0.861,NA,CVP,2025-02-28
C250014CVP,2025-02-18T20:00:00Z,42,Fall,Fall,0.993,NA,CVP,2025-02-28
C250015CVP,2025-02-18T20:00:00Z,38,Fall,Fall,0.733,NA,CVP,2025-02-28
C250016CVP,2025-02-18T20:00:00Z,38,Fall,Fall,0.706,NA,CVP,2025-02-28
C250017CVP,2025-02-18T20:00:00Z,39,Fall,Fall,0.895,NA,CVP,2025-02-28
C250018CVP,2025-02-18T20:00:00Z,37,Fall,Fall,0.971,NA,CVP,2025-02-28
C250019CVP,2025-02-18T20:00:00Z,38,Fall,Fall,0.614,NA,CVP,2025-02-28
C250020CVP,2025-02-18T20:00:00Z,37,Fall,Fall,0.978,NA,CVP,2025-02-28
C250021CVP,2025-02-18T20:00:00Z,39,Fall,Fall,0.976,NA,CVP,2025-02-28
C250022CVP,2025-02-18T22:00:00Z,38,Fall,Fall,0.987,NA,CVP,2025-02-28
C250023CVP,2025-02-19T04:00:00Z,36,Fall,Fall,0.992,NA,CVP,2025-02-28
C250024CVP,2025-02-19T04:00:00Z,36,Fall,Fall,0.56,NA,CVP,2025-02-28
C250025CVP,2025-02-19T04:00:00Z,35,Fall,Fall,0.415,NA,CVP,2025-02-28
C250026CVP,2025-02-19T06:00:00Z,35,Fall,Fall,0.857,NA,CVP,2025-02-28
C250027CVP,2025-02-19T06:00:00Z,35,Fall,Fall,0.794,NA,CVP,2025-02-28
C250028CVP,2025-02-19T06:00:00Z,36,Fall,Fall,0.988,NA,CVP,2025-02-28
C250029CVP,2025-02-19T08:00:00Z,37,Fall,Fall,0.687,NA,CVP,2025-02-28
C250030CVP,2025-02-19T08:00:00Z,37,Fall,Fall,0.538,NA,CVP,2025-02-28
C250031CVP,2025-02-19T08:00:00Z,38,Fall,Fall,0.986,NA,CVP,2025-02-28
C250032CVP,2025-02-19T18:00:00Z,37,Fall,Fall,0.994,NA,CVP,2025-02-28
C250033CVP,2025-02-19T18:00:00Z,36,Fall,Fall,0.967,NA,CVP,2025-02-28
C250034CVP,2025-02-19T18:00:00Z,39,Fall,Fall,0.972,NA,CVP,2025-02-28
C250035CVP,2025-02-19T18:00:00Z,41,Fall,Fall,0.931,NA,CVP,2025-02-28
C250036CVP,2025-02-19T20:00:00Z,36,Fall,Fall,0.994,NA,CVP,2025-02-28
C250037CVP,2025-02-19T20:00:00Z,37,Fall,Fall,0.599,NA,CVP,2025-02-28
C250038CVP,2025-02-19T22:00:00Z,39,Fall,Fall,0.924,NA,CVP,2025-02-28
C250039CVP,2025-02-19T22:00:00Z,38,Fall,Fall,0.554,NA,CVP,2025-02-28
C250040CVP,2025-02-19T22:00:00Z,39,Fall,Fall,0.99,NA,CVP,2025-02-28
C250041CVP,2025-02-19T22:00:00Z,40,Fall,Fall,0.971,NA,CVP,2025-02-28
C250042CVP,2025-02-19T22:00:00Z,37,Fall,Fall,0.984,NA,CVP,2025-02-28
C250043CVP,2025-02-19T23:59:00Z,40,Fall,Fall,0.582,NA,CVP,2025-02-28
C250044CVP,2025-02-20T02:00:00Z,35,Fall,Fall,0.824,NA,CVP,2025-02-28
C250045CVP,2025-02-20T02:00:00Z,39,Fall,Fall,0.88,NA,CVP,2025-02-28
C250046CVP,2025-02-20T04:00:00Z,40,Fall,Fall,0.923,NA,CVP,2025-02-28
C250048CVP,2025-02-20T04:00:00Z,38,Fall,Fall,0.739,NA,CVP,2025-02-28
C250049CVP,2025-02-20T04:00:00Z,38,Fall,Fall,0.991,NA,CVP,2025-02-28
C250050CVP,2025-02-20T04:00:00Z,36,Fall,Fall,0.997,NA,CVP,2025-02-28
C250051CVP,2025-02-20T10:00:00Z,39,Fall,Fall,0.938,NA,CVP,2025-02-28
C250052CVP,2025-02-20T20:00:00Z,40,Fall,Fall,0.842,NA,CVP,2025-02-28
C250053CVP,2025-02-20T20:00:00Z,35,Fall,Fall,0.503,NA,CVP,2025-02-28
C250054CVP,2025-02-20T20:00:00Z,39,Fall,Fall,0.524,NA,CVP,2025-02-28
C250055CVP,2025-02-20T20:00:00Z,40,Fall,Fall,0.599,NA,CVP,2025-02-28
C250056CVP,2025-02-20T22:00:00Z,39,Fall,Fall,0.939,NA,CVP,2025-02-28
C250057CVP,2025-02-20T22:00:00Z,37,Fall,Fall,0.945,NA,CVP,2025-02-28
C250058CVP,2025-02-20T22:00:00Z,38,Fall,Fall,0.997,NA,CVP,2025-02-28
C250059CVP,2025-02-20T22:00:00Z,33,Fall,Fall,0.802,NA,CVP,2025-02-28
C250060CVP,2025-02-20T22:00:00Z,39,Fall,Fall,0.842,NA,CVP,2025-02-28
C250061CVP,2025-02-20T22:00:00Z,34,Fall,Fall,0.599,NA,CVP,2025-02-28
C250062CVP,2025-02-20T22:00:00Z,41,Fall,Fall,0.545,NA,CVP,2025-02-28
C250063CVP,2025-02-20T23:59:00Z,39,Fall,Fall,0.82,NA,CVP,2025-02-28
C250066CVP,2025-02-20T23:59:00Z,39,Fall,Fall,0.758,NA,CVP,2025-02-28
C250065CVP,2025-02-20T23:59:00Z,35,Fall,Fall,0.517,NA,CVP,2025-05-07
C250067CVP,2025-02-21T02:00:00Z,36,Fall,Fall,0.623,NA,CVP,2025-02-28
C250068CVP,2025-02-21T14:00:00Z,37,Fall,Fall,0.692,NA,CVP,2025-02-28
C250069CVP,2025-02-21T16:00:00Z,39,Fall,Fall,0.657,NA,CVP,2025-02-28
C250070CVP,2025-02-21T18:00:00Z,38,Fall,Fall,0.972,NA,CVP,2025-02-28
C250071CVP,2025-02-21T18:00:00Z,39,Fall,Fall,0.633,NA,CVP,2025-02-28
C250072CVP,2025-02-21T20:00:00Z,37,Fall,Fall,0.66,NA,CVP,2025-02-28
C250073CVP,2025-02-21T20:00:00Z,40,Fall,Fall,0.937,NA,CVP,2025-02-28
C250074CVP,2025-02-21T20:00:00Z,38,Fall,Fall,0.906,NA,CVP,2025-02-28
C250075CVP,2025-02-21T22:00:00Z,36,Fall,Fall,0.98,NA,CVP,2025-02-28
C250076CVP,2025-02-21T22:00:00Z,38,Fall,Fall,0.742,NA,CVP,2025-02-28
C250077CVP,2025-02-21T22:00:00Z,37,Fall,Fall,0.97,NA,CVP,2025-02-28
C250078CVP,2025-02-21T22:00:00Z,34,Fall,Fall,0.973,NA,CVP,2025-02-28
C250079CVP,2025-02-21T22:00:00Z,38,Fall,Fall,0.815,NA,CVP,2025-02-28
C250080CVP,2025-02-21T22:00:00Z,36,Fall,Fall,0.503,NA,CVP,2025-02-28
C250081CVP,2025-02-21T22:00:00Z,37,Fall,Fall,0.796,NA,CVP,2025-02-28
C250082CVP,2025-02-21T22:00:00Z,38,Fall,Fall,0.527,NA,CVP,2025-02-28
C250083CVP,2025-02-21T22:00:00Z,34,Fall,Fall,0.99,NA,CVP,2025-02-28
C250084CVP,2025-02-21T23:59:00Z,147,Winter,Fall,1,NA,CVP,2025-02-23
C250085CVP,2025-02-22T02:00:00Z,39,Fall,Fall,0.905,NA,CVP,2025-02-28
C250086CVP,2025-02-22T02:00:00Z,37,Fall,Fall,0.795,NA,CVP,2025-02-28
C250087CVP,2025-02-22T02:00:00Z,41,Fall,Fall,0.835,NA,CVP,2025-02-28
C250088CVP,2025-02-22T04:00:00Z,61,Spring,Fall,0.722,NA,CVP,2025-02-28
C250089CVP,2025-02-22T04:00:00Z,43,Fall,Fall,0.904,NA,CVP,2025-02-28
C250090CVP,2025-02-22T06:00:00Z,36,Fall,Fall,0.651,NA,CVP,2025-02-28
C250091CVP,2025-02-22T06:00:00Z,42,Fall,Fall,0.991,NA,CVP,2025-02-28
C250092CVP,2025-02-22T20:00:00Z,42,Fall,Fall,0.794,NA,CVP,2025-03-18
C250094CVP,2025-02-22T22:00:00Z,38,Fall,Fall,0.855,NA,CVP,2025-03-18
C250095CVP,2025-02-22T23:59:00Z,41,Fall,Fall,0.925,NA,CVP,2025-03-18
C250097CVP,2025-02-22T23:59:00Z,38,Fall,Fall,0.737,NA,CVP,2025-03-18
C250098CVP,2025-02-22T23:59:00Z,42,Fall,Fall,0.471,NA,CVP,2025-03-18
C250099CVP,2025-02-22T23:59:00Z,41,Fall,Fall,0.441,NA,CVP,2025-03-18
C250100CVP,2025-02-22T23:59:00Z,39,Fall,Fall,0.936,NA,CVP,2025-03-18
C250101CVP,2025-02-22T23:59:00Z,43,Fall,Fall,0.758,NA,CVP,2025-03-18
C250103CVP,2025-02-23T02:00:00Z,39,Fall,Fall,0.738,NA,CVP,2025-03-18
C250107CVP,2025-02-23T06:00:00Z,40,Fall,Fall,0.826,NA,CVP,2025-05-07
C250105CVP,2025-02-23T06:00:00Z,67,Spring,Fall,0.874,NA,CVP,2025-02-28
C250106CVP,2025-02-23T06:00:00Z,41,Fall,Fall,0.995,NA,CVP,2025-03-18
C250108CVP,2025-02-23T22:00:00Z,41,Fall,Fall,0.541,NA,CVP,2025-03-18
C250109CVP,2025-02-23T22:00:00Z,38,Fall,Fall,0.924,NA,CVP,2025-03-18
C250110CVP,2025-02-23T22:00:00Z,38,Fall,Fall,0.987,NA,CVP,2025-03-18
C250111CVP,2025-02-23T23:59:00Z,41,Fall,Fall,0.97,NA,CVP,2025-03-18
C250112CVP,2025-02-23T23:59:00Z,37,Fall,Fall,0.995,NA,CVP,2025-03-18
C250113CVP,2025-02-24T02:00:00Z,44,Fall,Fall,0.912,NA,CVP,2025-03-18
C250114CVP,2025-02-24T02:00:00Z,38,Fall,Fall,0.988,NA,CVP,2025-03-18
C250115CVP,2025-02-24T02:00:00Z,44,Fall,Fall,0.975,NA,CVP,2025-03-18
C250116CVP,2025-02-24T02:00:00Z,38,Fall,Fall,0.901,NA,CVP,2025-03-18
C250117CVP,2025-02-25T02:00:00Z,45,Fall,Fall,0.967,NA,CVP,2025-03-18
C250118CVP,2025-02-25T06:00:00Z,38,Fall,Fall,0.634,NA,CVP,2025-03-18
C250119CVP,2025-02-25T06:00:00Z,37,Fall,Fall,0.513,NA,CVP,2025-03-18
C250120CVP,2025-02-25T12:00:00Z,36,Fall,Fall,0.71,NA,CVP,2025-03-18
C250121CVP,2025-02-25T12:00:00Z,42,Fall,Fall,0.957,NA,CVP,2025-03-18
C250122CVP,2025-02-25T14:00:00Z,126,Winter,Winter,1,NA,CVP,2025-02-27
C250123CVP,2025-02-25T20:00:00Z,49,Fall,Fall,0.696,NA,CVP,2025-03-18
C250124CVP,2025-02-25T22:00:00Z,69,Spring,Spring,0.902,Feather River,CVP,2025-02-28
C250125CVP,2025-02-25T22:00:00Z,63,Spring,Fall,0.553,NA,CVP,2025-02-28
C250126CVP,2025-02-25T22:00:00Z,47,Fall,Fall,0.741,NA,CVP,2025-03-18
C250128CVP,2025-02-25T22:00:00Z,39,Fall,Fall,0.977,NA,CVP,2025-03-18
C250127CVP,2025-02-25T22:00:00Z,48,Fall,Spring,0.861,Feather River,CVP,2025-05-07
C250131CVP,2025-02-26T20:00:00Z,45,Fall,Fall,0.821,NA,CVP,2025-03-18
C250132CVP,2025-02-26T20:00:00Z,41,Fall,Fall,0.49,NA,CVP,2025-03-18
C250133CVP,2025-02-27T04:00:00Z,40,Fall,Fall,0.523,NA,CVP,2025-03-18
C250134CVP,2025-02-27T04:00:00Z,42,Fall,Fall,0.786,NA,CVP,2025-03-18
C250136CVP,2025-02-27T16:00:00Z,44,Fall,Fall,0.985,NA,CVP,2025-03-18
C250137CVP,2025-02-27T20:00:00Z,49,Fall,Fall,0.542,NA,CVP,2025-03-18
C250138CVP,2025-02-27T22:00:00Z,44,Fall,Fall,0.775,NA,CVP,2025-03-18
C250139CVP,2025-02-27T22:00:00Z,41,Fall,Fall,0.626,NA,CVP,2025-03-18
C250140CVP,2025-02-28T06:00:00Z,45,Fall,Fall,0.533,NA,CVP,2025-03-18
C250141CVP,2025-02-28T06:00:00Z,43,Fall,Fall,0.559,NA,CVP,2025-03-18
C250142CVP,2025-03-02T23:59:00Z,131,Winter,Fall,1,NA,CVP,2025-03-04
C250163CVP,2025-03-04T20:00:00Z,67,Spring,Fall,0.998,NA,CVP,2025-03-18
